Date,Open,High,Low,Close,Adj Close,Volume
2021-05-03,39.040001,39.840000,38.959999,39.830002,38.454849,46638600
2021-05-04,40.000000,40.169998,39.430000,39.950001,38.570709,52802200
2021-05-05,40.180000,41.090000,38.930000,39.970001,38.590019,76627500
2021-05-06,38.480000,39.230000,37.959999,39.189999,38.209770,54944900
2021-05-07,39.049999,39.869999,39.049999,39.580002,38.590019,33807800
2021-05-10,39.830002,40.279999,39.779999,39.860001,38.863014,30831900
2021-05-11,39.680000,40.070000,39.230000,39.349998,38.365768,30568600
2021-05-12,39.439999,39.919998,39.310001,39.689999,38.697266,26208600
2021-05-13,39.500000,40.279999,39.500000,40.099998,39.097012,25415000
2021-05-14,40.240002,40.320000,39.919998,40.020000,39.019012,18041100
2021-05-17,40.070000,40.400002,40.009998,40.110001,39.106762,18095000
2021-05-18,40.180000,40.349998,39.830002,40.049999,39.048264,15805500
2021-05-19,39.900002,39.900002,39.430000,39.830002,38.833763,20209500
2021-05-20,39.730000,40.250000,39.720001,40.119999,39.116512,18621100
2021-05-21,40.209999,40.599998,39.910000,39.950001,38.950764,21144800
2021-05-24,40.080002,40.139999,39.779999,39.810001,38.814266,16922300
2021-05-25,39.820000,39.860001,39.240002,39.330002,38.346272,25916300
2021-05-26,39.290001,39.299999,38.779999,38.919998,37.946522,28036500
2021-05-27,38.970001,39.180000,38.599998,38.650002,37.683281,38471200
2021-05-28,38.750000,39.020000,38.680000,38.730000,37.761276,16154100
2021-06-01,38.939999,39.000000,38.480000,38.500000,37.537029,23642400
2021-06-02,38.639999,38.930000,38.540001,38.790001,37.819778,19629000
2021-06-03,38.759998,39.040001,38.630001,38.970001,37.995277,17376300
2021-06-04,39.049999,39.500000,39.020000,39.150002,38.170773,19375300
2021-06-07,39.080002,39.599998,38.970001,38.990002,38.014778,24110700
2021-06-08,39.070000,39.110001,38.480000,38.849998,37.878277,18880300
2021-06-09,39.000000,39.840000,38.980000,39.810001,38.814266,29824000
2021-06-10,39.900002,40.720001,39.889999,40.680000,39.662506,42613700
2021-06-11,40.660000,40.669998,39.950001,40.150002,39.145760,21386900
2021-06-14,40.029999,40.070000,39.380001,39.630001,38.638767,23408300
2021-06-15,39.709999,39.840000,39.389999,39.590000,38.599770,20206900
2021-06-16,39.619999,39.840000,39.279999,39.299999,38.317020,19177500
2021-06-17,39.270000,39.590000,39.070000,39.480000,38.492519,19580100
2021-06-18,39.299999,39.439999,38.700001,38.810001,37.839279,37775900
2021-06-21,38.880001,39.480000,38.880001,39.419998,38.434017,19488100
