CUSTOMER_ID,CITY NAME,STATE ABBREVIATION,FIPS ZIP CODE,LON,LAT,EST HOUSEHOLD INCOME V5,LENGTH OF RESIDENCE,NUMBER OF ADULTS IN LIVING UNIT,MOSAIC HOUSEHOLD,CHILDREN: AGE 0-18 VERSION 3
87638031819,MINNEAPOLIS,MN,55433,-93.3434349709573,45.1796486688362,$50000-$74999,25,1,L42,Not Likely
87539955529,MINNEAPOLIS,MN,55426,-93.38097,44.95187,$75000-$99999,02,1,K40,Not Likely
17566778323,MINNEAPOLIS,MN,55407,-93.2560328538908,44.9244962720401,$50000-$74999,16,1,G24,Not Likely
97529836551,MINNEAPOLIS,MN,55414,-93.213946665091,44.9695878340797,$1000-$14999,03,1,O53,Not Likely
57510837558,MINNEAPOLIS,MN,55414,-93.246946043029,44.9850931912674,$100000-$124999,10,2,O53,Not Likely
17550916627,MINNEAPOLIS,MN,55422,-93.3211740009083,45.0195295123631,$25000-$34999,10,2,F23,Yes
67551814819,MINNEAPOLIS,MN,55411,-93.3084191251644,45.0123665108913,$1000-$14999,05,1,K40,Possible
37568759022,MINNEAPOLIS,MN,55406,-93.2074059715428,44.939120916161,$35000-$49999,19,3,C13,Not Likely
27560800345,MINNEAPOLIS,MN,55410,-93.313129951784,44.9345368939139,,00,0,U00,No
37692008423,MINNEAPOLIS,MN,55431,-93.3000421917127,44.8548441638412,$35000-$49999,00,1,O51,Likely
37555873863,MINNEAPOLIS,MN,55418,-93.2489205147945,45.0153778417154,$35000-$49999,06,2,P56,Possible
87619132724,MINNEAPOLIS,MN,55448,-93.3192660698157,45.1907971046168,$250000+,09,1,A05,Likely
07590887452,MINNEAPOLIS,MN,55419,-93.2948636126658,44.9046,$100000-$124999,02,1,B08,Yes
97619022524,MINNEAPOLIS,MN,55433,-93.2927354939396,45.1519209017299,$100000-$124999,09,1,K40,Possible
27551896883,MINNEAPOLIS,MN,55420,-93.2909193613216,44.843609619069,$50000-$74999,28,2,L42,Not Likely
27548784394,MINNEAPOLIS,MN,55408,-93.2815041351395,44.9528397983445,$15000-$24999,00,1,O54,Possible
87691092363,MINNEAPOLIS,MN,55443,-93.3481912514637,45.1170350560092,$100000-$124999,03,4,F22,Yes
07568870275,MINNEAPOLIS,MN,55418,-93.2317737278042,45.0097230344807,$150000-$174999,27,3,C11,Not Likely
97676030564,MINNEAPOLIS,MN,55433,-93.3196563481916,45.1713689020109,$50000-$74999,09,1,P56,Possible
17531939303,MINNEAPOLIS,MN,55424,-93.3402892080421,44.9185126675021,$100000-$124999,13,5,A01,Possible
37513823324,MINNEAPOLIS,MN,55412,-93.3162317543611,45.0269930208966,$50000-$74999,07,1,G24,Likely
67593817270,MINNEAPOLIS,MN,55412,-93.29506,45.02399,$15000-$24999,07,1,R66,Likely
